diameter,density,mass,vm,pressure,primary_flow,particle_feed,state,source_file,cluster,proportion_bouncing,proportion_oscillating,proportion_penetrating
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0002,800.0,3.35103e-09,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,5,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
0.0005,800.0,5.23599e-08,0.15,6.8,0.2,0.25,penetrating,800kgm3_0.15vm_6.8bar_primaryflow=0.2kgs_particlefeed=0.25kgs.csv,55,0.0,0.0,1.0
